Gator Windows/Focal Loci,AADR_008228|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008229|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008230|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008231|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008232|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008233|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008234|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008235|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008236|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008237|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008238|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008239|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008240|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008241|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008242|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008243|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008244|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008245|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008246|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008247|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008248|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008249|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008250|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008251|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008252|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008253|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008254|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008255|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008256|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008257|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008258|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008259|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008260|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008261|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008262|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008263|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008264|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008265|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008266|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008267|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008268|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008269|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008270|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008271|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008272|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008273|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008274|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008275|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008276|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008277|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008278|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008279|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008280|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008281|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008282|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008283|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008284|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008285|_|GCA_000418455.1_ASM41845v1.gbk,AADR_008286|_|GCA_000418455.1_ASM41845v1.gbk,Gator Focal Window,Gator Focal Score
window_5--GCA_000418455.1_ASM41845v1.gbff,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,window_5--GCA_000418455.1_ASM41845v1.gbff,1.0
window_7--GCA_040114435.1_ASM4011443v1.gbff,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,window_5--GCA_000418455.1_ASM41845v1.gbff,1.0
window_9--GCA_024298985.1_ASM2429898v1.gbff,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,window_5--GCA_000418455.1_ASM41845v1.gbff,1.0
window_10--GCA_003675955.1_ASM367595v1.gbff,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,window_5--GCA_000418455.1_ASM41845v1.gbff,1.0
window_16--GCA_024298965.1_ASM2429896v1.gbff,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,window_5--GCA_000418455.1_ASM41845v1.gbff,1.0
window_1--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8007374029168081,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,window_5--GCA_000418455.1_ASM41845v1.gbff,0.9183106904803969
window_22--GCA_014205315.1_ASM1420531v1.gbff,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_5--GCA_000418455.1_ASM41845v1.gbff,0.7600382594238122
window_23--GCA_041365895.1_ASM4136589v1.gbff,0.0,0.0,0.0,0.0,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.0,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.0,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_5--GCA_000418455.1_ASM41845v1.gbff,0.6033003790063527
window_30--GCA_025568765.1_ASM2556876v1.gbff,0.0,0.0,0.0,0.0,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.0,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.0,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_5--GCA_000418455.1_ASM41845v1.gbff,0.6033003790063527
window_26--GCA_017874715.1_ASM1787471v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756109800648459,0.0,0.0,0.0,0.0,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,0.9756109800648459,0.9059551911095097,0.9059551911095097,0.9756109800648459,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_5--GCA_000418455.1_ASM41845v1.gbff,0.45106294832141103
