Gator Windows/Focal Loci,ABGJ_000328|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000329|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000330|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000331|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000332|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000333|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000334|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000335|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000336|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000337|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000338|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000339|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000340|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000341|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000342|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000343|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000344|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000345|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000346|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000347|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000348|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000349|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000350|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000351|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000352|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000353|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000354|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000355|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000356|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000357|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000358|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000359|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000360|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000361|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000362|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000363|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000364|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000365|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000366|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000367|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000368|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000369|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000370|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000371|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000372|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000373|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000374|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000375|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000376|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000377|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000378|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000379|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000380|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000381|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000382|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000383|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000384|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000385|_|GCA_002812405.1_ASM281240v1.gbk,ABGJ_000386|_|GCA_002812405.1_ASM281240v1.gbk,Gator Focal Window,Gator Focal Score
window_3--GCA_002812405.1_ASM281240v1.gbff,6.4552469066326685e-06,1.8664469113520537e-05,5.1365531189759374e-05,0.0001345492510803394,0.00033546262790251185,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,1.8664469113520537e-05,6.4552469066326685e-06,2.125022016232157e-06,window_3--GCA_002812405.1_ASM281240v1.gbff,1.0
window_27--GCA_040653035.1_ASM4065303v1.gbff,6.4552469066326685e-06,1.8664469113520537e-05,5.1365531189759374e-05,0.0001345492510803394,0.00033546262790251185,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,1.8664469113520537e-05,6.4552469066326685e-06,2.125022016232157e-06,window_3--GCA_002812405.1_ASM281240v1.gbff,0.9651727732564924
window_13--GCA_033547115.1_ASM3354711v1.gbff,6.4552469066326685e-06,1.8664469113520537e-05,5.1365531189759374e-05,0.0001345492510803394,0.00033546262790251185,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.0,0.9059551911095097,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.0,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8664469113520537e-05,6.4552469066326685e-06,2.125022016232157e-06,window_3--GCA_002812405.1_ASM281240v1.gbff,0.9333132465505102
window_2--GCA_015689475.1_ASM1568947v1.gbff,6.4552469066326685e-06,1.8664469113520537e-05,5.1365531189759374e-05,0.0001345492510803394,0.00033546262790251185,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.0,0.9059551911095097,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,1.8664469113520537e-05,6.4552469066326685e-06,2.125022016232157e-06,window_3--GCA_002812405.1_ASM281240v1.gbff,0.930345546512985
window_6--GCA_021233395.1_ASM2123339v1.gbff,6.4552469066326685e-06,1.8664469113520537e-05,5.1365531189759374e-05,0.0001345492510803394,0.00033546262790251185,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.0,0.9059551911095097,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.20592424643419877,0.1353352832366127,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,1.8664469113520537e-05,6.4552469066326685e-06,2.125022016232157e-06,window_3--GCA_002812405.1_ASM281240v1.gbff,0.930345546512985
window_12--GCA_030122705.1_ASM3012270v1.gbff,6.4552469066326685e-06,1.8664469113520537e-05,5.1365531189759374e-05,0.0001345492510803394,0.00033546262790251185,0.0007960866914957305,0.0017981666618475832,0.0038659201394728045,0.007910959733930249,0.015408445571188785,0.02856550078455038,0.050405533362753635,0.08465798862252993,0.1353352832366127,0.20592424643419877,0.2982340961814216,0.4111122905071875,0.5394075072376265,0.6736384553447268,0.8007374029168081,0.9059551911095097,0.9756109800648459,1.0,0.9756109800648459,0.9059551911095097,0.8007374029168081,0.6736384553447268,0.6736384553447268,0.0,0.9059551911095097,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.6736384553447268,0.5394075072376265,0.4111122905071875,0.2982340961814216,0.0,0.0,0.08465798862252993,0.050405533362753635,0.02856550078455038,0.015408445571188785,0.007910959733930249,0.0038659201394728045,0.0017981666618475832,0.0007960866914957305,0.00033546262790251185,0.0001345492510803394,5.1365531189759374e-05,1.8664469113520537e-05,6.4552469066326685e-06,2.125022016232157e-06,window_3--GCA_002812405.1_ASM281240v1.gbff,0.915502824073725
window_1--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_002812405.1_ASM281240v1.gbff,0.3417396130283474
window_5--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_002812405.1_ASM281240v1.gbff,0.3417396130283474
window_11--GCA_016919685.1_ASM1691968v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_002812405.1_ASM281240v1.gbff,0.3417396130283474
window_14--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756109800648459,1.0,1.0,1.0,1.0,1.0,0.9756109800648459,0.9059551911095097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_002812405.1_ASM281240v1.gbff,0.3417396130283474
