Gator Windows/Focal Loci,AENV_000230|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000231|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000232|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000233|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000234|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000235|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000236|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000237|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000238|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000239|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000240|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000241|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000242|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000243|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000244|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000245|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000246|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000247|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000248|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000249|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000250|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000251|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000252|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000253|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000254|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000255|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000256|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000257|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000258|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000259|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000260|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000261|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000262|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000263|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000264|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000265|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000266|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000267|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000268|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000269|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000270|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000271|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000272|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000273|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000274|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000275|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000276|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000277|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000278|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000279|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000280|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000281|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000282|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000283|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000284|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000285|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000286|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000287|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000288|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000289|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000290|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000291|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000292|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000293|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000294|_|GCA_033547115.1_ASM3354711v1.gbk,AENV_000295|_|GCA_033547115.1_ASM3354711v1.gbk,Gator Focal Window,Gator Focal Score
window_13--GCA_033547115.1_ASM3354711v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.20110649305495495,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.03520906079689176,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.003271094541349324,0.0016357027014762464,0.000786169678854422,0.0003631857942133139,0.00016126572020479124,6.882653597544502e-05,2.8233869831310897e-05,1.1132316582054735e-05,4.218920413503399e-06,1.5368014499624117e-06,5.380651135037159e-07,1.810725225772844e-07,window_13--GCA_033547115.1_ASM3354711v1.gbff,1.0
window_3--GCA_002812405.1_ASM281240v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.9908419229586327
window_2--GCA_015689475.1_ASM1568947v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.959260541715968
window_4--GCA_006974005.1_ASM697400v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.959260541715968
window_6--GCA_021233395.1_ASM2123339v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.959260541715968
window_8--GCA_002591335.1_ASM259133v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.959260541715968
window_21--GCA_002891865.1_ASM289186v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.959260541715968
window_25--GCA_008033485.2_ASM803348v2.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.959260541715968
window_27--GCA_040653035.1_ASM4065303v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.378979557615554,0.2815921971754522,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.959260541715968
window_12--GCA_030122705.1_ASM3012270v1.gbff,6.882653597544502e-05,0.00016126572020479124,0.0003631857942133139,0.000786169678854422,0.0016357027014762464,0.003271094541349324,0.006287564683942932,0.011616424652957256,0.020628285712495784,0.03520906079689176,0.05776255394092581,0.09108334636519248,0.13804866566943766,0.20110649305495495,0.2815921971754522,0.378979557615554,0.4902432207076511,0.6095482002561786,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,0.9803932717987247,0.9238496285499838,0.8367638301957248,0.7284590684489806,0.7284590684489806,0.8367638301957248,0.9238496285499838,0.9803932717987247,1.0,1.0,1.0,0.9803932717987247,0.9803932717987247,1.0,1.0,0.9803932717987247,0.9238496285499838,0.0,0.7284590684489806,0.6095482002561786,0.4902432207076511,0.0,0.0,0.0,0.13804866566943766,0.09108334636519248,0.05776255394092581,0.0,0.020628285712495784,0.011616424652957256,0.006287564683942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_13--GCA_033547115.1_ASM3354711v1.gbff,0.9343290524792606
