Gator Windows/Focal Loci,ADAI_009516|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009517|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009518|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009519|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009520|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009521|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009522|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009523|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009524|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009525|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009526|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009527|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009528|_|GCA_017874715.1_ASM1787471v1.gbk,ADAI_009529|_|GCA_017874715.1_ASM1787471v1.gbk,Gator Focal Window,Gator Focal Score
window_9--GCA_000938975.1_Siranensis.gbff,1.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.20592424643419877,0.6736384553447268,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0017981666618475832,5.1365531189759374e-05,window_27--GCA_017874715.1_ASM1787471v1.gbff,1.0
window_24--GCA_014205315.1_ASM1420531v1.gbff,1.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.20592424643419877,0.6736384553447268,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0017981666618475832,5.1365531189759374e-05,window_27--GCA_017874715.1_ASM1787471v1.gbff,1.0
window_27--GCA_017874715.1_ASM1787471v1.gbff,1.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.20592424643419877,0.6736384553447268,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0017981666618475832,5.1365531189759374e-05,window_27--GCA_017874715.1_ASM1787471v1.gbff,1.0
window_13--GCA_000418455.1_ASM41845v1.gbff,1.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.20592424643419877,0.6736384553447268,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0017981666618475832,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.9999933022766466
window_17--GCA_009296025.1_ASM929602v1.gbff,1.0,1.0,1.0,0.0,0.0,0.20592424643419877,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7972317412778357
window_8--GCA_026898115.1_ASM2689811v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7703805902735658
window_16--GCA_007856155.1_ASM785615v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7703805902735658
window_18--GCA_031679605.1_ASM3167960v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7703805902735658
window_19--GCA_008704495.1_ASM870449v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7703805902735658
window_21--GCA_016919685.1_ASM1691968v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7703805902735658
window_23--GCA_004295505.1_ASM429550v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7703805902735658
window_26--GCA_009862825.1_ASM986282v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7703805902735658
window_3--GCA_015689475.1_ASM1568947v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.0,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7435294392692959
window_6--GCA_030122705.1_ASM3012270v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.0,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7435294392692959
window_10--GCA_033547115.1_ASM3354711v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.0,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7435294392692959
window_14--GCA_002812405.1_ASM281240v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.0,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7435294392692959
window_28--GCA_040653035.1_ASM4065303v1.gbff,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6736384553447268,0.0,0.02856550078455038,0.0,0.0,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.7435294392692959
window_30--GCA_041365895.1_ASM4136589v1.gbff,0.0,0.0,0.0,0.6736384553447268,0.20592424643419877,0.20592424643419877,0.6736384553447268,1.0,1.0,0.6736384553447268,0.20592424643419877,0.02856550078455038,0.0,5.1365531189759374e-05,window_27--GCA_017874715.1_ASM1787471v1.gbff,0.6085855004785305
